repositoryName,url,commits,totalStars,forks,rank,since,username
cryptomator,https://github.com/cryptomator/cryptomator,3283,6226,532,3,monthly,cryptomator
dbeaver,https://github.com/dbeaver/dbeaver,21081,22554,2115,4,monthly,dbeaver
termux-app,https://github.com/termux/termux-app,1173,9327,1334,5,monthly,termux
Java,https://github.com/TheAlgorithms/Java,1430,41440,13634,6,monthly,TheAlgorithms
java-design-patterns,https://github.com/iluwatar/java-design-patterns,3134,70497,21967,7,monthly,iluwatar
CompreFace,https://github.com/exadel-inc/CompreFace,3655,1359,137,8,monthly,exadel-inc
jdk,https://github.com/openjdk/jdk,66356,11225,2770,10,monthly,openjdk
datahub,https://github.com/linkedin/datahub,4648,3649,1053,11,monthly,linkedin
LSPosed,https://github.com/LSPosed/LSPosed,1929,2414,173,12,monthly,LSPosed
karate,https://github.com/karatelabs/karate,3414,5271,1366,14,monthly,karatelabs
airbyte,https://github.com/airbytehq/airbyte,3440,4244,579,16,monthly,airbytehq
questdb,https://github.com/questdb/questdb,3114,4887,267,18,monthly,questdb
jenkins,https://github.com/jenkinsci/jenkins,31579,17931,7015,19,monthly,jenkinsci
Lavalink,https://github.com/freyacodes/Lavalink,898,684,323,20,monthly,freyacodes
NetGuard,https://github.com/M66B/NetGuard,3702,3484,761,21,monthly,M66B
besu,https://github.com/hyperledger/besu,3042,540,323,23,monthly,hyperledger
bazel,https://github.com/bazelbuild/bazel,30792,17451,3127,24,monthly,bazelbuild
akhq,https://github.com/tchiotludo/akhq,557,2110,345,25,monthly,tchiotludo
java-design-patterns,https://github.com/iluwatar/java-design-patterns,3134,70497,21967,1,weekly,iluwatar
Java,https://github.com/TheAlgorithms/Java,1430,41440,13634,2,weekly,TheAlgorithms
airbyte,https://github.com/airbytehq/airbyte,3440,4244,579,3,weekly,airbytehq
questdb,https://github.com/questdb/questdb,3114,4887,267,4,weekly,questdb
karate,https://github.com/karatelabs/karate,3414,5271,1366,5,weekly,karatelabs
Signal-Android,https://github.com/signalapp/Signal-Android,8347,21259,5132,6,weekly,signalapp
dbeaver,https://github.com/dbeaver/dbeaver,21081,22555,2115,7,weekly,dbeaver
tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,691,5021,1233,8,weekly,gyoogle
HacktoberFest,https://github.com/tarunsinghofficial/HacktoberFest,2346,259,1318,11,weekly,tarunsinghofficial
ghidra,https://github.com/NationalSecurityAgency/ghidra,5483,29207,3810,12,weekly,NationalSecurityAgency
caffeine,https://github.com/ben-manes/caffeine,1339,10546,1102,13,weekly,ben-manes
CompreFace,https://github.com/exadel-inc/CompreFace,3655,1359,137,14,weekly,exadel-inc
aws-sdk-java-v2,https://github.com/aws/aws-sdk-java-v2,7621,1252,485,15,weekly,aws
nifi,https://github.com/apache/nifi,6789,2831,2126,17,weekly,apache
strimzi-kafka-operator,https://github.com/strimzi/strimzi-kafka-operator,4058,2661,715,18,weekly,strimzi
termux-app,https://github.com/termux/termux-app,1173,9327,1334,19,weekly,termux
datahub,https://github.com/linkedin/datahub,4648,3649,1053,20,weekly,linkedin
liquibase,https://github.com/liquibase/liquibase,9952,2798,1390,21,weekly,liquibase
camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,18419,2250,1016,22,weekly,camunda
src.next,https://github.com/kiwibrowser/src.next,670,332,43,24,weekly,kiwibrowser
Sentinel,https://github.com/alibaba/Sentinel,713,17569,6131,1,daily,alibaba
serve,https://github.com/pytorch/serve,2000,2138,388,2,daily,pytorch
ghidra,https://github.com/NationalSecurityAgency/ghidra,5483,29207,3810,3,daily,NationalSecurityAgency
dolphinscheduler,https://github.com/apache/dolphinscheduler,5321,6529,2345,4,daily,apache
rocketmq,https://github.com/apache/rocketmq,1766,15583,8645,5,daily,apache
nacos,https://github.com/alibaba/nacos,3715,19844,8190,6,daily,alibaba
Activiti,https://github.com/Activiti/Activiti,10764,8083,6528,7,daily,Activiti
spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,1831,20316,6229,8,daily,alibaba
spring-framework,https://github.com/spring-projects/spring-framework,23020,44582,31341,9,daily,spring-projects
skywalking,https://github.com/apache/skywalking,6777,17892,5286,10,daily,apache
seata,https://github.com/seata/seata,1340,20913,6880,11,daily,seata
disruptor,https://github.com/LMAX-Exchange/disruptor,1258,14143,3455,12,daily,LMAX-Exchange
jib,https://github.com/GoogleContainerTools/jib,2021,11211,1131,13,daily,GoogleContainerTools
opentelemetry-java-instrumentation,https://github.com/open-telemetry/opentelemetry-java-instrumentation,6829,555,259,14,daily,open-telemetry
redisson,https://github.com/redisson/redisson,6850,17529,4277,15,daily,redisson
debezium,https://github.com/debezium/debezium,5621,5489,1453,16,daily,debezium
DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,550,4000,1963,17,daily,kunal-kushwaha
airbyte,https://github.com/airbytehq/airbyte,3440,4244,579,18,daily,airbytehq
fastjson,https://github.com/alibaba/fastjson,3933,23816,6314,19,daily,alibaba
incubator-doris,https://github.com/apache/incubator-doris,3368,3396,995,21,daily,apache
hadoop,https://github.com/apache/hadoop,25343,12003,7435,22,daily,apache
liquibase,https://github.com/liquibase/liquibase,9952,2798,1390,25,daily,liquibase
