Project,Abstract Function Call From Constructor,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclic-Dependent Modularization,Deep Hierarchy,Deficient Encapsulation,Empty catch clause,Hub-like Modularization,Imperative Abstraction,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Hierarchy,Missing default,Multifaceted Abstraction,Rebellious Hierarchy,Unexploited Encapsulation,Unnecessary Abstraction,Unutilized Abstraction,Wide Hierarchy
SpringCloud,0,31,0,0,1,0,0,0,9,0,0,0,135,1,0,1,4,56,0,0,16,45,0,0,0,0
tinker,27,1153,0,143,183,7,91,3,97,2,0,0,236,91,28,42,39,82,70,0,14,443,0,1,83,0
server,168,9846,0,295,134,4,161,0,134,5,0,0,499,372,22,113,103,38,32,0,27,1134,0,2,117,0
retrofit,20,308,2,27,11,0,5,1,97,2,0,5,492,5,5,0,26,13,13,2,0,376,5,0,13,0
react-native-push-notification,2,3,0,3,1,0,3,0,3,0,0,0,6,7,1,0,4,0,0,0,0,33,0,0,4,0
jadx,64,2152,3,274,61,0,120,3,181,2,2,0,1070,9,8,46,243,75,32,3,5,367,0,4,167,1
serve,12,319,0,27,26,0,14,0,14,0,0,0,67,2,0,10,14,1,5,0,2,163,0,0,18,0
RePlugin,24,316,0,114,67,0,9,1,74,0,4,0,127,26,6,10,95,13,46,0,6,261,0,1,25,0
jedis,46,2045,0,14,545,0,3,1,13,2,0,0,150,1,0,44,4,1,70,0,0,296,0,0,7,0
spark,11,355,1,11,28,2,4,0,26,0,0,0,85,3,2,3,11,12,7,0,0,78,0,0,15,4
