Project,Abstract Function Call From Constructor,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclic-Dependent Modularization,Deep Hierarchy,Deficient Encapsulation,Empty catch clause,Hub-like Modularization,Imperative Abstraction,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Hierarchy,Missing default,Multifaceted Abstraction,Multipath Hierarchy,Rebellious Hierarchy,Unexploited Encapsulation,Unnecessary Abstraction,Unutilized Abstraction,Wide Hierarchy
APIJSON,0,42,46,0,0,0,0,3,4,48,0,10,0,0,1,12,0,12,1,19,18,16,60,171,5,0,1
cryptomator,1,33,11,0,0,0,0,5,6,4,0,2,0,0,0,0,0,1,0,39,131,8,185,122,3,0,3
grpc-java,0,367,76,4,0,4,2,147,124,186,18,38,7,2,1,25,1,315,2,294,1368,218,5775,6058,104,3,351
calcite,8,1189,436,30,9,24,51,446,1342,867,16,116,36,9,7,82,0,1213,0,690,1860,273,8376,11499,140,18,60
metrics,0,52,12,1,0,1,0,23,2,19,1,3,1,0,0,0,0,27,0,32,271,20,1483,359,6,1,16
SpringCloud,16,1,0,0,0,0,0,1,4,0,0,56,0,0,0,0,0,0,0,9,135,0,31,45,0,0,1
shardingsphere-elasticjob,17,9,24,0,0,0,0,26,4,6,0,44,0,0,0,0,1,10,0,28,376,12,697,882,4,0,52
arthas,7,96,47,0,0,2,0,21,21,115,2,10,1,2,0,8,0,19,0,51,274,44,504,324,99,0,16
android-gif-drawable,0,1,3,0,0,0,0,0,10,3,0,1,0,0,0,0,0,0,0,6,31,5,42,15,4,0,0
tinker,14,181,85,0,0,2,1,42,41,143,0,82,0,7,0,28,0,91,0,97,236,27,1144,441,70,3,92
EventBus,1,3,6,0,0,1,0,21,13,6,0,16,0,0,0,0,0,2,0,15,114,5,177,28,7,2,2
feign,1,44,9,0,0,2,0,36,26,24,18,103,0,2,0,0,0,4,0,71,493,32,619,715,11,2,8
react-native-image-picker,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,4,1,6,5,0,0,0
Mybatis-PageHelper,0,32,4,0,0,0,0,1,7,11,0,2,0,1,0,0,0,0,0,12,107,6,844,61,3,0,2
