Project,AbstractClassWithoutAnyMethod,AvoidCatchingGenericException,AvoidDeeplyNestedIfStmts,AvoidRethrowingException,AvoidThrowingNewInstanceOfSameException,AvoidThrowingNullPointerException,AvoidThrowingRawExceptionTypes,AvoidUncheckedExceptionsInSignatures,ClassWithOnlyPrivateConstructorsShouldBeFinal,CognitiveComplexity,CollapsibleIfStatements,CouplingBetweenObjects,CyclomaticComplexity,DataClass,DoNotExtendJavaLangError,ExceptionAsFlowControl,ExcessiveClassLength,ExcessiveImports,ExcessiveMethodLength,ExcessiveParameterList,ExcessivePublicCount,FinalFieldCouldBeStatic,GodClass,ImmutableField,LawOfDemeter,LogicInversion,MutableStaticState,NPathComplexity,NcssCount,SignatureDeclareThrowsException,SimplifiedTernary,SimplifyBooleanExpressions,SimplifyBooleanReturns,SimplifyConditional,SingularField,SwitchDensity,TooManyFields,TooManyMethods,UseObjectForClearerAPI,UseUtilityClass,UselessOverridingMethod
MyBookshelf,46,3,6,0,12,0,5,133,42,21,4,47,3898,0,3,0,0,23,165,4,0,9,38,62,126,3,42,210,38,20,0,17,19,37,0,34,9,21,5,2,18
glide,0,0,3,1,0,0,0,28,2,8,14,21,5920,2,1,0,4,46,36,44,0,30,27,113,61,0,2,14,1,4,0,14,1,111,1,4,0,16,0,5,1
jadx,29,9,7,2,45,0,2,200,27,12,1,92,7365,0,0,0,0,50,249,27,0,11,78,87,264,0,97,21,2,17,8,11,2,30,2,4,43,4,0,6,40
azkaban,25,12,10,0,24,0,1,123,57,29,12,56,10562,1,1,0,4,66,301,148,1,12,52,99,189,23,64,84,23,31,15,25,98,342,7,3,4,20,4,4,54
shardingsphere-elasticjob,1,0,0,1,0,0,0,4,0,0,0,1,4571,0,0,0,0,6,31,10,0,0,1,42,5,2,8,1,9,0,0,5,0,18,0,0,0,5,0,0,2
questdb,30,0,54,0,15,4,9,376,52,248,79,156,13208,0,0,1,1,7,90,30,1,57,104,272,455,0,59,4,0,119,0,37,2,161,2,0,34,6,0,7,16
BaseRecyclerViewAdapterHelper,1,0,0,0,2,0,0,3,0,2,0,2,160,0,0,0,0,1,0,0,0,0,1,0,2,0,1,35,0,1,0,1,6,0,0,1,0,0,0,1,8
incubator-doris,125,91,37,2,18,0,3,630,502,191,60,378,27173,18,4,2,4,164,458,98,1,37,154,194,943,21,115,1460,59,211,9,60,138,266,12,19,31,19,7,5,102
EventBus,2,0,0,0,0,0,0,3,5,0,0,1,187,0,0,0,0,0,14,29,0,0,2,10,9,0,4,3,0,0,0,1,0,19,0,0,0,0,0,1,2
file_name,0,0,0,0,0,0,0,21,0,1,8,0,0,0,0,0,1,0,0,0,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
hutool,28,0,20,0,7,0,0,117,19,7,1,43,5565,2,3,0,4,21,148,32,0,40,94,192,213,5,228,2,120,12,479,12,0,9,3,1,21,9,0,23,26
hetu-core,155,51,88,1,277,0,6,676,11,269,255,372,71036,14,5,3,49,908,662,426,7,103,311,760,1102,59,97,558,35,170,20,164,169,462,16,18,77,87,5,10,250
mybatis-plus,5,1,0,2,2,0,0,34,1,3,3,7,1479,1,0,0,1,7,24,6,0,5,11,33,37,5,21,5,0,5,0,4,1,35,0,0,9,4,0,0,1
XChange,28,5,1,3,121,0,0,60,59,17,264,33,23932,0,2,24,3,75,119,97,0,19,44,134,115,236,434,634,10,9,12,89,97,246,2,20,19,54,2,6,817
tinker,23,20,1,0,7,0,2,106,13,38,14,68,1531,2,0,0,1,9,90,23,0,5,34,29,167,1,42,39,16,43,0,11,27,24,2,1,7,0,3,6,2
strimzi-kafka-operator,31,1,29,2,61,0,0,159,40,105,80,62,31819,0,4,0,8,154,88,186,5,14,43,178,147,54,42,233,5,27,0,31,35,39,1,6,36,196,2,2,123
metersphere,78,25,37,3,5,0,0,262,47,38,1,100,9205,0,1,5,4,60,452,325,6,102,55,240,326,14,59,89,10,53,2,49,5,31,3,1,38,8,1,0,100
datahub,2,1,1,0,72,0,0,17,40,3,1,6,4091,0,0,0,0,47,135,154,0,0,7,18,24,8,8,16,21,3,0,3,13,45,1,0,7,3,0,0,7
traccar,0,0,3,0,0,0,4,198,0,99,0,116,4825,0,0,0,4,10,7,26,0,1,44,27,288,1,0,33,16,105,0,2,4,30,0,0,103,0,0,0,56
conductor,8,1,6,0,5,0,0,26,24,7,2,21,7026,1,0,0,2,41,342,55,0,13,19,70,75,12,12,4,2,23,0,13,1,71,9,0,4,7,0,2,38
vert,28,5,21,1,8,0,2,166,20,35,6,47,8621,0,0,0,1,32,178,43,0,52,76,219,158,8,56,55,24,40,1,18,11,164,0,20,9,4,0,20,9
canal,25,7,20,3,2,0,7,223,34,43,3,99,5046,1,4,0,3,24,220,213,20,10,103,93,297,10,75,245,9,50,5,19,14,51,2,12,38,3,19,180,102
