name,url,starred,forked,commits,license,last-updated,size,visibility
JavaGuide,https://github.com/Snailclimb/JavaGuide,111676,38254,3507,Apache License 2.0,2021-10-08T14:48:15Z,56354,public
java-design-patterns,https://github.com/iluwatar/java-design-patterns,70388,21941,3128,Other,2021-10-08T14:31:41Z,27703,public
LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,67161,12892,245,None,2021-10-08T14:03:06Z,509799,public
spring-boot,https://github.com/spring-projects/spring-boot,57563,34704,34264,Apache License 2.0,2021-10-08T14:48:57Z,140281,public
elasticsearch,https://github.com/elastic/elasticsearch,56714,20672,61061,Other,2021-10-08T13:06:58Z,880792,public
RxJava,https://github.com/ReactiveX/RxJava,45358,7516,5944,Apache License 2.0,2021-10-08T07:28:53Z,131475,public
spring-framework,https://github.com/spring-projects/spring-framework,44534,31308,22987,Apache License 2.0,2021-10-08T14:49:31Z,169812,public
Java,https://github.com/TheAlgorithms/Java,41302,13577,1404,MIT License,2021-10-08T14:31:51Z,2156,public
retrofit,https://github.com/square/retrofit,38826,6978,1918,Apache License 2.0,2021-10-08T14:42:39Z,5673,public
GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,38814,5522,91,GNU General Public License v3.0,2021-10-08T11:11:22Z,4973,public
dubbo,https://github.com/apache/dubbo,36246,24146,5056,Apache License 2.0,2021-10-08T12:28:40Z,36870,public
MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34048,8524,2070,Other,2021-10-08T07:29:27Z,21720,public
lottie-android,https://github.com/airbnb/lottie-android,31876,5114,1349,Apache License 2.0,2021-10-08T07:00:10Z,135421,public
glide,https://github.com/bumptech/glide,31793,5806,2604,Other,2021-10-08T07:42:07Z,91711,public
hello-algorithm,https://github.com/geekxh/hello-algorithm,28768,5535,390,None,2021-10-08T12:27:48Z,365281,public
zxing,https://github.com/zxing/zxing,28455,9098,3611,Apache License 2.0,2021-10-08T07:28:15Z,240754,public
tutorials,https://github.com/eugenp/tutorials,27737,44548,22954,MIT License,2021-10-08T14:35:15Z,325132,public
netty,https://github.com/netty/netty,27718,13653,10609,Apache License 2.0,2021-10-08T14:36:05Z,73629,public
jadx,https://github.com/skylot/jadx,27309,3370,1520,Apache License 2.0,2021-10-08T14:47:45Z,17222,public
arthas,https://github.com/alibaba/arthas,27282,5964,1636,Apache License 2.0,2021-10-08T13:26:51Z,25769,public
JCSprout,https://github.com/crossoverJie/JCSprout,26434,7122,708,MIT License,2021-10-08T09:40:24Z,1185,public
butterknife,https://github.com/JakeWharton/butterknife,25738,4751,1016,Apache License 2.0,2021-10-07T14:36:32Z,3909,public
apollo,https://github.com/apolloconfig/apollo,25706,9393,2597,Apache License 2.0,2021-10-08T13:44:28Z,48436,public
proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25359,4610,474,Apache License 2.0,2021-10-08T11:08:54Z,26860,public
jeecg-boot,https://github.com/jeecgboot/jeecg-boot,25238,9795,560,Apache License 2.0,2021-10-08T14:53:36Z,48435,public
druid,https://github.com/alibaba/druid,24602,7882,6498,Apache License 2.0,2021-10-08T14:48:05Z,65339,public
fastjson,https://github.com/alibaba/fastjson,23806,6310,3932,Apache License 2.0,2021-10-08T13:35:04Z,15452,public
EventBus,https://github.com/greenrobot/EventBus,23641,4632,507,Apache License 2.0,2021-10-08T11:04:47Z,1708,public
spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,23551,8147,733,MIT License,2021-10-08T13:14:03Z,13873,public
SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23008,4723,1072,Apache License 2.0,2021-10-07T17:29:57Z,273174,public
dbeaver,https://github.com/dbeaver/dbeaver,22439,2099,21036,Apache License 2.0,2021-10-08T14:07:57Z,265809,public
Hystrix,https://github.com/Netflix/Hystrix,22024,4472,2109,Apache License 2.0,2021-10-08T15:03:12Z,9784,public
miaosha,https://github.com/qiurunze123/miaosha,21872,5658,218,None,2021-10-08T13:52:37Z,65619,public
SpringAll,https://github.com/wuyouzhuguli/SpringAll,21824,6522,140,MIT License,2021-10-08T15:04:51Z,1089,public
easyexcel,https://github.com/alibaba/easyexcel,21260,5665,699,Apache License 2.0,2021-10-08T09:48:20Z,25477,public
Signal-Android,https://github.com/signalapp/Signal-Android,21250,5122,8304,GNU General Public License v3.0,2021-10-08T15:12:05Z,452374,public
seata,https://github.com/seata/seata,20893,6861,1339,Apache License 2.0,2021-10-08T14:14:39Z,8466,public
gson,https://github.com/google/gson,20114,3905,1580,Apache License 2.0,2021-10-08T14:21:36Z,10876,public
kafka,https://github.com/apache/kafka,20062,10613,9479,Apache License 2.0,2021-10-08T10:35:59Z,130859,public
halo,https://github.com/halo-dev/halo,19836,6824,2025,GNU General Public License v3.0,2021-10-08T12:45:54Z,32695,public
nacos,https://github.com/alibaba/nacos,19796,8155,3714,Apache License 2.0,2021-10-08T14:01:11Z,42728,public
xxl-job,https://github.com/xuxueli/xxl-job,19584,8331,1692,GNU General Public License v3.0,2021-10-08T12:16:07Z,32509,public
